LinkID,Type,NodeID1,NodeID2,Length_ft,Diameter_in,Roughness,InitialStatus,MinorLoss_K,Power_HP,Setting,CurveID,Valve,Type.1,Tag,Reject_Reason,Notes
P_RES1_T1,Pump,RES1,T1,0,2.469,0.000167,Open,0,1,nan,Curve_Franklin35GPM_1HP,nan,nan,Well ? T1,,
P_T1_M1,Pipe,T1,M1,20,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,T1 ? M1,,
P_PT1_SUC,Pipe,PT1,J_BP1_SUC,20,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,"""Pump suction header""",,
BP1,Pump,J_BP1_SUC,J_BP1_DIS,0,2.469,0.000167,Open,0,5,nan,Curve_Franklin_5FPDB1_2_6p625in,nan,nan,"""Booster pump""",,
P_DIS_M1,Pipe,J_BP1_DIS,M1,20,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,"""Pump discharge header""",,
P_SNT1_60_100,Pipe,J_SNT1_60,J_SNT1_160,100,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,"""SNT1 60?100 ft (to Valve V1)""",,
V1,Valve,J_V1_IN,J_V1_OUT,0,2.469,0.000167,Open,0,nan,20,nan,FCV,nan,"""FCV set to 20 gpm""",,
P_SNT1_160_200,Pipe,J_V1_OUT,J_SNT1_360,200,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,"""SNT1 160?200 ft""",,
V2,Valve,J_V2_IN,J_V2_OUT,0,2.469,0.000167,Open,0,nan,20,nan,FCV,nan,"""FCV set to 20 gpm""",,
P_SNT1_360_445,Pipe,J_SNT1_365,J_SNT1_445,85,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 360?85 ft (from Valve V2),,
P_SNT1445_CNT1,Pipe,J_SNT1_445,CNT1,15,1.029,0.000167,Open,nan,nan,nan,nan,nan,nan,"""15 ft Lateral @ ? CNT1""",,
P_SNT1_445_500,Pipe,J_SNT1_445,J_SNT1_500,55,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 445?55 ft,,
P_SNT1_500_CNT2,Pipe,J_SNT1_500,CNT2,40,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @40 ft ? CNT2""",,
P_SNT1_500_555,Pipe,J_SNT1_500,J_SNT1_555,55,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 500?55 ft,,
P_SNT1_555_CNT2,Pipe,J_SNT1_555,CNT3,40,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"Lateral @40 ft ? CNT3""",,
P_SNT1_555_-610,Pipe,J_SNT1_555,J_SNT1_610,55,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 555?55 ft,,
P_SNT1_610_CNT2,Pipe,J_SNT1_610,CNT4,40,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @40 ft ? CNT2""",,
P_SNT1_610_655,Pipe,J_SNT1_610,J_SNT1_655,45,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 610?45 ft,,
P_SNT1_655_BEND,Pipe,J_SNT1_655,J_SNT1_BEND,0,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,"""Seg: SNT1 ? 90ø bend""",,
P_SN1BEND_655_675,Pipe,J_SNT1_BEND,J_SNT1_675,20,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,"""Seg: 90ø bend ? SNT1 +20 ft""",,
P_SNT1_675_CNT5,Pipe,J_SNT1_675,CNT5,15,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @15 ft ? CNT5""",,
P_SNT1_675_715,Pipe,J_SNT1_675,J_SNT1_715,40,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 675?40 ft,,
P_SNT1_715_CNT6,Pipe,J_SNT1_715,CNT6,105,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @105 ft ? CNT6""",,
P_SNT1_715_765,Pipe,J_SNT1_715,J_SNT1_765,50,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 715?50 ft,,
P_SNT1_765_CNT7,Pipe,J_SNT1_765,CNT7,205,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @205 ft ? CNT7""",,
P_SNT1_765_845,Pipe,J_SNT1_765,J_SNT1_845,80,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 765?80 ft,,
V3,Valve,J_V3_IN,J_V3_OUT,0,2.469,0.000167,Open,0,nan,20,nan,FCV,nan,"""FCV set to 20 gpm""",,
P_SNT1_845_890,Pipe,J_SNT1_845,J_SNT1_890,45,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 845?45 ft,,
P_SNT1_890_CNT8,Pipe,J_SNT1_890,CNT8,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT8""",,
P_SNT1_890_910,Pipe,P_SNT1_890,J_SNT1_910,20,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 890?20 ft,,
P_SNT1_910_CNT9,Pipe,J_SNT1_910,CNT9,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT9""",,
P_SNT1_910_966,Pipe,P_SNT1_910,J_SNT1_966,56,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 910?56 ft,,
P_SNT1_966_CNT10,Pipe,J_SNT1_966,CNT10,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT10""",,
P_SNT1_966_986,Pipe,P_SNT1_966,J_SNT1_986,20,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 966?20 ft,,
P_SNT1_986_CNT11,Pipe,P_SNT1_986,CNT11,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT11""",,
P_SNT1_986_1042,Pipe,P_SNT1_986,J_SNT1_1042,56,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 986?56 ft,,
P_SNT1_1042_CNT12,Pipe,J_SNT1_1042,CNT12,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT12""",,
P_SNT1_1042_1062,Pipe,P_SNT1_1042,J_SNT1_1062,20,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 1042?20 ft,,
P_SNT1_1062_CNT13,Pipe,P_SNT1_1062,CNT13,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT13""",,
P_SNT1_1062_1118,Pipe,P_SNT1_1062,J_SNT1_1118,56,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 1062?56 ft,,
P_SNT1_1118_CNT14,Pipe,J_SNT1_1118,CNT14,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT14""",,
P_SNT1_1118_1174,Pipe,J_SNT1_1118,J_SNT1_1174,56,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 1118?56 ft,,
P_SNT1_1174_CNT15,Pipe,J_SNT1_1174,CNT15,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT15""",,
P_SNT1_1174_1194,Pipe,J_SNT1_1174,J_SNT1_1194,20,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 1174?20 ft,,
P_SNT1_1194_CNT16,Pipe,J_SNT1_1194,CNT16,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT16""",,
P_SNT1_1194_1250,Pipe,J_SNT1_1194,J_SNT1_1250,56,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 1194?56 ft,,
P_SNT1_1250_CNT17,Pipe,J_SNT1_1250,CNT17,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT17""",,
P_SNT1_1250_1265,Pipe,J_SNT1_1250,J_SNT1_1265,15,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 1250?15 ft,,
P_SNT1_1265_CNT18,Pipe,J_SNT1_1265,CNT18,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT18""",,
P_SNT1_1265_1280,Pipe,J_SNT1_1265,J_SNT1_1280,15,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 1265?15 ft,,
P_SNT1_1280_CNT19,Pipe,J_SNT1_1280,CNT19,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT19""",,
P_SNT1_1280_1295,Pipe,J_SNT1_1280,J_SNT1_1295,15,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 1280?15 ft,,
P_SNT1_1295_CNT20,Pipe,J_SNT1_1295,CNT20,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT20""",,
310P_SNT1_1295_15,Pipe,J_SNT1_1295,J_SNT1_1310,15,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 1295?15 ft,,
P_SNT1_1310_CNT21,Pipe,J_SNT1_1310,CNT21,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT21""",,
P_SNT1_1310_1325,Pipe,J_SNT1_1310,J_SNT1_1325,15,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 1310?15 ft,,
P_SNT1_1325_CNT22,Pipe,J_SNT1_1325,CNT22,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT22""",,
P_SNT1_1325_1420,Pipe,J_SNT1_1325,J_SNT1_1420,95,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 1325?95 ft,,
P_SNT1_1420_CNT23,Pipe,J_SNT1_1420,CNT23,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT13""",,
P_SNT1_1420_1435,Pipe,J_SNT1_1420,J_SNT1_1435,15,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 1420?15 ft,,
P_SNT1_1435_CNT24,Pipe,J_SNT1_1435,CNT24,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CN24""",,
P_SNT1_1435_1450,Pipe,J_SNT1_1435,J_SNT1_1450,15,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 1435?15 ft,,
P_SNT1_1450_CNT25,Pipe,J_SNT1_1450,CNT25,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT25""",,
P_SNT1_1450_1530,Pipe,J_SNT1_1450,J_SNT1_1530,95,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 1450?95 ft,,
P_SNT1_1530_CNT26,Pipe,J_SNT1_1530,CNT26,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT26""",,
P_SNT1_1530_1545,Pipe,J_SNT1_1530,J_SNT1_1560,15,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 1530?15 ft,,
P_SNT1_1545_CNT27,Pipe,J_SNT1_1545,CNT27,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT27""",,
P_SNT1_1545_1640,Pipe,J_SNT1_1545,J_SNT1_1640,95,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 1545?95 ft,,
P_SNT1_1640_CNT28,Pipe,J_SNT1_1640,CNT28,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT28""",,
P_SNT1_1640_1670,Pipe,J_SNT1_1640,J_SNT1_1655,15,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 1640?15 ft,,
P_SNT1_1655_CNT29,Pipe,J_SNT1_1655,CNT29,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT29""",,
P_SNT1_1655_1750,Pipe,J_SNT1_1655,J_SNT1_1750,95,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 1655?95 ft,,
P_SNT1_1750_CNT30,Pipe,J_SNT1_1750,CNT30,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT30""",,
P_SNT1_1750_1765,Pipe,J_SNT1_1750,J_SNT1_1765,15,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 1765?15 ft,,
P_SNT1_1780_CNT31,Pipe,J_SNT1_1765,CNT31,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT21""",,
P_SNT1_1765_1975,Pipe,J_SNT1_1765,J_SNT1_1875,95,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 1765?95 ft,,
P_SNT1_1860_CNT32,Pipe,J_SNT1_1860,CNT32,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT32""",,
P_SNT1_1860_1875,Pipe,J_SNT1_1860,J_SNT1_1875,15,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT11860?15 ft,,
P_SNT1_1875_CNT33,Pipe,J_SNT1_1875,CNT33,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT33""",,
P_SNT1_1875_2025,Pipe,J_SNT1_1875,J_SNT1_2025,150,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 1860?150 ft,,
P_SNT1_2025_CNT34,Pipe,J_SNT1_2025,CNT34,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CN34""",,
P_SNT1_2025_2040,Pipe,J_SNT1_2025,J_SNT1_2040,15,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 2025?15 ft,,
P_SNT12040_CNT35,Pipe,J_SNT1_2040,CNT35,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT35""",,
P_SNT1_2040_95,Pipe,J_SNT1_2040,J_SNT1_2135,95,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 2040?95 ft,,
P_SNT1_2135_CNT36,Pipe,J_SNT1_2135,CNT36,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT36""",,
P_SNT1_2135_80,Pipe,J_SNT1_2135,J_SNT1_2215,80,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 2135?80 ft(Dead End),,
