LinkID,Type,NodeID1,NodeID2,Length_ft,Diameter_in,Roughness,InitialStatus,MinorLoss_K,Power_HP,Setting,CurveID,Valve  Type,Tag,Valve,Type.1,Reject_Reason,Notes,__sheet__
P_RES1_T1,Pump,RES1,T1,0,2.469,0.000167,Open,0,1,nan,Curve_Franklin35GPM_1HP,nan,Well → T1,,,,,Sheet1
P_T1_M1,Pipe,T1,M1,20,2.469,0.000167,Open,0,nan,nan,nan,nan,T1 → M1,,,,,Sheet1
P_PT1_SUC,Pipe,PT1,J_BP1_SUC,20,2.469,0.000167,Open,0,nan,nan,nan,nan,"""Pump suction header""",,,,,Sheet1
BP1,Pump,J_BP1_SUC,J_BP1_DIS,0,2.469,0.000167,Open,0,5,nan,Curve_Franklin_5FPDB1_2_6p625in,nan,"""Booster pump""",,,,,Sheet1
P_DIS_M1,Pipe,J_BP1_DIS,M1,20,2.469,0.000167,Open,0,nan,nan,nan,nan,"""Pump discharge header""",,,,,Sheet1
P_SNT1_60_100,Pipe,J_SNT1_60,J_SNT1_160,100,2.469,0.000167,Open,0,nan,nan,nan,nan,"""SNT1 60→100 ft (to Valve V1)""",,,,,Sheet1
V1,Valve,J_V1_IN,J_V1_OUT,0,2.469,0.000167,Open,0,nan,20,nan,FCV,"""FCV set to 20 gpm""",,,,Valve row missing Valve subtype (FCV/PRV/PSV/PBV/TCV/GPV),Sheet1
P_SNT1_160_200,Pipe,J_V1_OUT,J_SNT1_360,200,2.469,0.000167,Open,0,nan,nan,nan,nan,"""SNT1 160→200 ft""",,,,,Sheet1
V2,Valve,J_V2_IN,J_V2_OUT,0,2.469,0.000167,Open,0,nan,20,nan,FCV,"""FCV set to 20 gpm""",,,,Valve row missing Valve subtype (FCV/PRV/PSV/PBV/TCV/GPV),Sheet1
P_SNT1_360_445,Pipe,J_V2_OUT,J_SNT1_445,85,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 360→85 ft (from Valve V2),,,,,Sheet1
P_SNT1445_CNT1,Pipe,J_SNT1_445,CNT1,15,1.029,0.000167,Open,nan,nan,nan,nan,nan,"""15 ft Lateral @ → CNT1""",,,,,Sheet1
P_SNT1_445_500,Pipe,J_SNT1_445,J_SNT1_500,55,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 445→55 ft,,,,,Sheet1
P_SNT1_500_CNT2,Pipe,J_SNT1_500,CNT2,40,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @40 ft → CNT2""",,,,,Sheet1
P_SNT1_500_555,Pipe,J_SNT1_500,J_SNT1_555,55,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 500→55 ft,,,,,Sheet1
P_SNT1_555_CNT2,Pipe,J_SNT1_555,CNT3,40,1.029,0.000167,Open,0,nan,nan,nan,nan,"Lateral @40 ft → CNT3""",,,,,Sheet1
P_SNT1_555_-610,Pipe,J_SNT1_555,J_SNT1_610,55,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 555→55 ft,,,,,Sheet1
P_SNT1_610_CNT2,Pipe,J_SNT1_610,CNT4,40,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @40 ft → CNT2""",,,,,Sheet1
P_SNT1_610_655,Pipe,J_SNT1_610,J_SNT1_655,45,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 610→45 ft,,,,,Sheet1
P_SNT1_655_BEND,Pipe,J_SNT1_655,J_SNT1_BEND,0,2.469,0.000167,Open,0,nan,nan,nan,nan,"""Seg: SNT1 → 90° bend""",,,,,Sheet1
P_SN1BEND_655_675,Pipe,J_SNT1_BEND,J_SNT1_675,20,2.469,0.000167,Open,0,nan,nan,nan,nan,"""Seg: 90° bend → SNT1 +20 ft""",,,,,Sheet1
P_SNT1_675_CNT5,Pipe,J_SNT1_675,CNT5,15,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @15 ft → CNT5""",,,,,Sheet1
P_SNT1_675_715,Pipe,J_SNT1_675,J_SNT1_715,40,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 675→40 ft,,,,,Sheet1
P_SNT1_715_CNT6,Pipe,J_SNT1_715,CNT6,105,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @105 ft → CNT6""",,,,,Sheet1
P_SNT1_715_765,Pipe,J_SNT1_715,J_SNT1_765,50,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 715→50 ft,,,,,Sheet1
P_SNT1_765_CNT7,Pipe,J_SNT1_765,CNT7,205,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @205 ft → CNT7""",,,,,Sheet1
P_SNT1_765_845,Pipe,J_SNT1_765,J_SNT1_845,80,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 765→80 ft,,,,,Sheet1
V3,Valve,J_V3_IN,J_V3_OUT,0,2.469,0.000167,Open,0,nan,20,nan,FCV,"""FCV set to 20 gpm""",,,,Valve row missing Valve subtype (FCV/PRV/PSV/PBV/TCV/GPV),Sheet1
P_SNT1_845_890,Pipe,J_V3_OUT,J_SNT1_890,45,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 845→45 ft,,,,,Sheet1
P_SNT1_890_CNT8,Pipe,J_SNT1_890,CNT8,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT8""",,,,,Sheet1
P_SNT1_890_910,Pipe,P_SNT1_890,J_SNT1_910,20,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 890→20 ft,,,,,Sheet1
P_SNT1_910_CNT9,Pipe,J_SNT1_910,CNT9,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT9""",,,,,Sheet1
P_SNT1_910_966,Pipe,P_SNT1_910,J_SNT1_966,56,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 910→56 ft,,,,,Sheet1
P_SNT1_966_CNT10,Pipe,J_SNT1_966,CNT10,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT10""",,,,,Sheet1
P_SNT1_966_986,Pipe,P_SNT1_966,J_SNT1_986,20,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 966→20 ft,,,,,Sheet1
P_SNT1_986_CNT11,Pipe,P_SNT1_986,CNT11,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT11""",,,,,Sheet1
P_SNT1_986_1042,Pipe,P_SNT1_986,J_SNT1_1042,56,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 986→56 ft,,,,,Sheet1
P_SNT1_1042_CNT12,Pipe,J_SNT1_1042,CNT12,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT12""",,,,,Sheet1
P_SNT1_1042_1062,Pipe,P_SNT1_1042,J_SNT1_1062,20,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 1042→20 ft,,,,,Sheet1
P_SNT1_1062_CNT13,Pipe,P_SNT1_1062,CNT13,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT13""",,,,,Sheet1
P_SNT1_1062_1118,Pipe,P_SNT1_1062,J_SNT1_1118,56,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 1062→56 ft,,,,,Sheet1
P_SNT1_1118_CNT14,Pipe,J_SNT1_1118,CNT14,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT14""",,,,,Sheet1
P_SNT1_1118_1174,Pipe,J_SNT1_1118,J_SNT1_1174,56,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 1118→56 ft,,,,,Sheet1
P_SNT1_1174_CNT15,Pipe,J_SNT1_1174,CNT15,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT15""",,,,,Sheet1
P_SNT1_1174_1194,Pipe,J_SNT1_1174,J_SNT1_1194,20,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 1174→20 ft,,,,,Sheet1
P_SNT1_1194_CNT16,Pipe,J_SNT1_1194,CNT16,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT16""",,,,,Sheet1
P_SNT1_1194_1250,Pipe,J_SNT1_1194,J_SNT1_1250,56,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 1194→56 ft,,,,,Sheet1
P_SNT1_1250_CNT17,Pipe,J_SNT1_1250,CNT17,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT17""",,,,,Sheet1
P_SNT1_1250_1265,Pipe,J_SNT1_1250,J_SNT1_1265,15,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 1250→15 ft,,,,,Sheet1
P_SNT1_1265_CNT18,Pipe,J_SNT1_1265,CNT18,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT18""",,,,,Sheet1
P_SNT1_1265_1280,Pipe,J_SNT1_1265,J_SNT1_1280,15,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 1265→15 ft,,,,,Sheet1
P_SNT1_1280_CNT19,Pipe,J_SNT1_1280,CNT19,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT19""",,,,,Sheet1
P_SNT1_1280_1295,Pipe,J_SNT1_1280,J_SNT1_1295,15,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 1280→15 ft,,,,,Sheet1
P_SNT1_1295_CNT20,Pipe,J_SNT1_1295,CNT20,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT20""",,,,,Sheet1
310P_SNT1_1295_15,Pipe,J_SNT1_1295,J_SNT1_1310,15,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 1295→15 ft,,,,,Sheet1
P_SNT1_1310_CNT21,Pipe,J_SNT1_1310,CNT21,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT21""",,,,,Sheet1
P_SNT1_1310_1325,Pipe,J_SNT1_1310,J_SNT1_1325,15,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 1310→15 ft,,,,,Sheet1
P_SNT1_1325_CNT22,Pipe,J_SNT1_1325,CNT22,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT22""",,,,,Sheet1
P_SNT1_1325_1420,Pipe,J_SNT1_1325,J_SNT1_1420,95,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 1325→95 ft,,,,,Sheet1
P_SNT1_1420_CNT23,Pipe,J_SNT1_1420,CNT23,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT13""",,,,,Sheet1
P_SNT1_1420_1435,Pipe,J_SNT1_1420,J_SNT1_1435,15,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 1420→15 ft,,,,,Sheet1
P_SNT1_1435_CNT24,Pipe,J_SNT1_1435,CNT24,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CN24""",,,,,Sheet1
P_SNT1_1435_1450,Pipe,J_SNT1_1435,J_SNT1_1450,15,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 1435→15 ft,,,,,Sheet1
P_SNT1_1450_CNT25,Pipe,J_SNT1_1450,CNT25,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT25""",,,,,Sheet1
P_SNT1_1450_1530,Pipe,J_SNT1_1450,J_SNT1_1530,95,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 1450→95 ft,,,,,Sheet1
P_SNT1_1530_CNT26,Pipe,J_SNT1_1530,CNT26,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT26""",,,,,Sheet1
P_SNT1_1530_1545,Pipe,J_SNT1_1530,J_SNT1_1560,15,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 1530→15 ft,,,,,Sheet1
P_SNT1_1545_CNT27,Pipe,J_SNT1_1545,CNT27,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT27""",,,,,Sheet1
P_SNT1_1545_1640,Pipe,J_SNT1_1545,J_SNT1_1640,95,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 1545→95 ft,,,,,Sheet1
P_SNT1_1640_CNT28,Pipe,J_SNT1_1640,CNT28,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT28""",,,,,Sheet1
P_SNT1_1640_1670,Pipe,J_SNT1_1640,J_SNT1_1655,15,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 1640→15 ft,,,,,Sheet1
P_SNT1_1655_CNT29,Pipe,J_SNT1_1655,CNT29,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT29""",,,,,Sheet1
P_SNT1_1655_1750,Pipe,J_SNT1_1655,J_SNT1_1750,95,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 1655→95 ft,,,,,Sheet1
P_SNT1_1750_CNT30,Pipe,J_SNT1_1750,CNT30,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT30""",,,,,Sheet1
P_SNT1_1750_1765,Pipe,J_SNT1_1750,J_SNT1_1765,15,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 1765→15 ft,,,,,Sheet1
P_SNT1_1780_CNT31,Pipe,J_SNT1_1765,CNT31,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT21""",,,,,Sheet1
P_SNT1_1765_1975,Pipe,J_SNT1_1765,J_SNT1_1875,95,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 1765→95 ft,,,,,Sheet1
P_SNT1_1860_CNT32,Pipe,J_SNT1_1860,CNT32,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT32""",,,,,Sheet1
P_SNT1_1860_1875,Pipe,J_SNT1_1860,J_SNT1_1875,15,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT11860→15 ft,,,,,Sheet1
P_SNT1_1875_CNT33,Pipe,J_SNT1_1875,CNT33,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT33""",,,,,Sheet1
P_SNT1_1875_2025,Pipe,J_SNT1_1875,J_SNT1_2025,150,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 1860→150 ft,,,,,Sheet1
P_SNT1_2025_CNT34,Pipe,J_SNT1_2025,CNT34,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CN34""",,,,,Sheet1
P_SNT1_2025_2040,Pipe,J_SNT1_2025,J_SNT1_2040,15,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 2025→15 ft,,,,,Sheet1
P_SNT12040_CNT35,Pipe,J_SNT1_2040,CNT35,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT35""",,,,,Sheet1
P_SNT1_2040_95,Pipe,J_SNT1_2040,J_SNT1_2135,95,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 2040→95 ft,,,,,Sheet1
P_SNT1_2135_CNT36,Pipe,J_SNT1_2135,CNT36,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT36""",,,,,Sheet1
P_SNT1_2135_80,Pipe,J_SNT1_2135,J_SNT1_2215,80,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 2135→80 ft(Dead End),,,,,Sheet1
P_M1_SNT2,Pipe,M1,J_SNT2_55,55,2.469,0.000167,Open,0,nan,nan,nan,nan,"""Header M1 → SNT2 (to CNT37)""",,,,,Sheet1
V4,Valve,J_V4_IN,J_V4_OUT,0,2.469,0.000167,Open,0,nan,20,nan,FCV,"""FCV set to 20 gpm (SNT2)""",,,,Valve row missing Valve subtype (FCV/PRV/PSV/PBV/TCV/GPV),Sheet1
P_SNT2_55_CNT37,Pipe,J_V4_OUT,J_CNT37_90,90,1.029,0.000167,Open,0,nan,nan,nan,nan,90 ft lateral → CNT37 through V4,,,,,Sheet1
P_SNT2_55_80,Pipe,J_SNT2_55,J_SNT2_80,25,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 55→25 ft,,,,,Sheet1
V5,Valve,J_V5_IN,J_V5_OUT,0,1.029,0.000167,Open,0,nan,20,nan,FCV,"""FCV set to 20 gpm (SNT2)""",,,,Valve row missing Valve subtype (FCV/PRV/PSV/PBV/TCV/GPV),Sheet1
P_SNT1_80_CNT38,Pipe,J_V5_OUT,CNT38,105,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @105 ft → CNT38""",,,,,Sheet1
P_SNT2_80_105,Pipe,J_SNT1_80,J_SNT1_105,25,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 80→25 ft,,,,,Sheet1
V6,Valve,J_V6_IN,J_V6_OUT,0,2.469,0.000167,Open,0,nan,20,nan,FCV,"""FCV set to 20 gpm (SNT2)""",,,,Valve row missing Valve subtype (FCV/PRV/PSV/PBV/TCV/GPV),Sheet1
P_SNT2_105_185,Pipe,J_V6_OUT,J_SNT2_185,80,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 105→185 ft,,,,,Sheet1
V7,Valve,J_V7_IN,J_V7_OUT,0,2.469,0.000167,Open,0,nan,20,nan,FCV,"""FCV set to 20 gpm (SNT2)""",,,,Valve row missing Valve subtype (FCV/PRV/PSV/PBV/TCV/GPV),Sheet1
P_SNT2_185_CNT39,Pipe,J_V7_OUT,CNT39,55,2.469,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @55 ft → CNT39""",,,,,Sheet1
P_SNT2_185_205,Pipe,J_SNT2_185,J_SNT2_205,20,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 185→20 ft,,,,,Sheet1
P_SNT1_205_CNT40,Pipe,J_SNT2_205,CNT40,100,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @100 ft → CNT40""",,,,,Sheet1
P_CNT40_V8_IN,Pipe,CNT40,J_V8_IN,0,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @185 ft → V8_IN""",,,,,Sheet1
V8,Valve,J_V8_IN,J_V8_OUT,0,1.029,0.000167,Open,0,nan,20,nan,FCV,"""FCV set to 20 gpm (SNT2)""",,,,Valve row missing Valve subtype (FCV/PRV/PSV/PBV/TCV/GPV),Sheet1
P_CNT40_185,Pipe,J_V8_OUT,CNT41,185,1.029,0.000167,Open,0,nan,nan,nan,0,185 ft lateral → through V8 to CNT41,,,,,Sheet1
P_SNT2_205_230,Pipe,J_SNT2_205,J_SNT2_235,25,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 205→25 ft,,,,,Sheet1
P_SNT2_235_CNT42,Pipe,J_SNT2_235,CNT42,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT42""",,,,,Sheet1
P_SNT2_235_245,Pipe,J_SNT2_235,J_SNT2_245,15,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 235→15 ft,,,,,Sheet1
P_SNT2_245_CNT43,Pipe,J_SNT2_245,CNT43,150,1.029,0.000167,Open,0,nan,nan,nan,nan,150 ft lateral → CNT43,,,,,Sheet1
P_SNT2_245_290,Pipe,J_SNT2_245,J_SNT2_290,50,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 245→50 ft,,,,,Sheet1
P_SNT2_290_CNT44,Pipe,J_SNT2_290,CNT44,150,1.029,0.000167,Open,0,nan,nan,nan,nan,150 ft lateral → CNT44,,,,,Sheet1
P_SNT2_290_305,Pipe,J_SNT2_290,J_SNT2_305,15,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,,,,,Sheet1
P_SNT2_305_CNT45,Pipe,J_SNT2_305,CNT45,150,1.029,0.000167,Open,0,nan,nan,nan,nan,150 ft lateral → through V8 to CNT45,,,,,Sheet1
