NodeID,X_ft,Y_ft,Elev_ft,BaseDemand_gpm,PatternID,Zone,Tag,SquaresX,SquaresY,Reject_Reason,Notes
RES1,,,,20.0,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
T1,,,,20.0,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
PT1,,,,20.0,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_BP1_SUC,,,,20.0,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_BP1_DIS,,,,20.0,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_60,,,,20.0,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_V1_IN,,,,20.0,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_V1_OUT,,,,20.0,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_V2_IN,,,,20.0,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_V2_OUT,,,,20.0,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_445,,,,20.0,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_445,,,,20.0,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_500,,,,20.0,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_500,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_555,,,,20.0,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_555,,,,20.0,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_610,,,,0.123,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_610,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_655,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_BEND,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_675,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_675,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_715,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_715,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_765,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_765,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_V3_IN,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_V3_OUT,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_890,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
P_SNT1_890,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_910,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
P_SNT1_910,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_966,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
P_SNT1_966,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
P_SNT1_986,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
P_SNT1_986,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_1042,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
P_SNT1_1042,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
P_SNT1_1062,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
P_SNT1_1062,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_1118,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_1118,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_1174,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_1174,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_1194,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_1194,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_1250,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_1250,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_1265,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_1265,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_1280,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_1280,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_1295,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_1295,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_1310,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_1310,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_1325,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_1325,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_1420,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_1420,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_1435,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_1435,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_1450,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_1450,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_1530,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_1530,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_1545,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_1545,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_1640,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_1640,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_1655,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_1655,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_1750,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_1750,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_1765,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_1765,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_1860,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_1860,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_1875,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_1875,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_2025,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_2025,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_2040,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_2040,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_2135,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_2135,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_2215,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_V4_IN,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
M1,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_55,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_V5_IN,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_V5_OUT,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_55,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_V5_OUT,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_80,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_V6_IN,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_V6_OUT,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_V7_IN,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_V7_OUT,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_185,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_205,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
CNT40,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_V8_IN,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_V8_OUT,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_205,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_235,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_235,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_245,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_245,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
