NodeID,Type,Elevation_ft,BaseDemand_gpm,Pattern,X,Y,InitLevel_ft,MinLevel_ft,MaxLevel_ft
NodeID,Type,Elevation_ft,BaseDemand_gpm,Pattern,X,Y,InitLevel_ft,MinLevel_ft,MaxLevel_ft
RES1,Reservoir,-65,20,DailyUse,544.38,73.14,,,
J_RES1_T1,RES!,-65,20,DailyUse,544.38,73.14,,,
T1,Junction,-104,20,DailyUse,544.44,93.44,,,
M1,Junction,-104,20,DailyUse,544.44,93.44,,,
J_T1_M1,Tank,-104,20,DailyUse,544.44,93.44,7.71,3,7.71
J_BP1_SUC,Junction,-130,20,DailyUse,544.44,97.83,,,
J_T1_SUC,Tank,-130,20,DailyUse,544.44,97.83,9 08,3.2,9.08
J_BP1,Booster Pump,-130,20,DailyUse,544.44,105.63,,,
J_BJ1_DIS,Junction,-130,20,DailyUse,544.44,105.63,,,
J_BP1_DIS,Junction,-130,20,DailyUse,544.44,105.63,,,
J_DIS_M1,Booster JumJ,-130,20,DailyUse,544.44,105.63,,,
J_SNT1_60,Junction,-65,20,DailyUse,511.88,65,,,
J_SNT1_60_100,Junction,-65,20,DailyUse,511.88,65,,,
J_SNT1_V1_IN_160,Junction,-65,20,DailyUse,495.63,65,,,
V1,Junction,-81.3,20,DailyUse,418.44,81.25,,,
J_SNT1_V1_OUT_160_200,Junction,-89.4,20,DailyUse,390,89.38,,,
J_SNT1_V2_IN_360,Junction,-97.5,20,DailyUse,325,97.5,,,
V2,Junction,-110.5,20,DailyUse,344.5,110.5,,,
J_SNT1_V2_OUT_360_445,Junction,-81.3,20,DailyUse,333.13,81.25,,,
J_SNT1_445_CNT1,Junction,-125.9,20,DailyUse,333.19,125.94,,,
J_SNT1_445_500,Junction,-81.3,20,DailyUse,268.45,81.25,,,
J_SNT1_500_CNT2,Junction,-125.9,20,DailyUse,268.45,125.94,,,
J_SNT1_500_555,Junction,-73.1,20,DailyUse,234.16,73.13,,,
J_SNT1_555_CNT3,Junction,-91,20,DailyUse,219.38,91,,,
J_SNT1_555_610,Junction,-62.4,20,DailyUse,174.85,62.4,,,
J_SNT1_610_CNT4,Junction,-62.4,20,DailyUse,174.85,62.4,,,
J_SNT1_610_655,Junction,-81.3,20,DailyUse,170.63,81.25,,,
J_SNT1_655_BEND_IN,Junction,-85.8,20,DailyUse,158.6,85.8,,,
J_SNT1_655_BEND_OUT,Junction,-81.3,20,DailyUse,153.73,81.25,,,
J_SNT1_655_675,Junction,-113.8,20,DailyUse,156.65,113.75,,,
J_SNT1_675_CNT5,Junction,-239.9,20,DailyUse,178.75,239.85,,,
J_SNT1_675_715,Junction,-65,20,DailyUse,102.05,65,,,
J_SNT1_715_CNT6,Junction,-239.9,20,DailyUse,175.5,239.85,,,
J_SNT1_715_765,Junction,-239.9,20,DailyUse,175.5,239.85,,,
J_SNT1_765_CNT7,Junction,-304.9,20,DailyUse,175.5,304.85,,,
J_SNT1_765_845,Junction,-304.9,20,DailyUse,52.98,304.85,,,
J_SNT1_V3_IN_845,Junction,-329.2,20,DailyUse,175.5,329.23,,,
V3,Junction,-341.3,20,DailyUse,97.5,341.25,,,
J_SNT1_V3_OUT_845_890,Junction,-361.8,20,DailyUse,175.5,361.73,,,
J_SNT1_890_CNT8,Junction,-361.8,20,DailyUse,247.42,361.73,,,
J_SNT1_890_910,Junction,-367.3,20,DailyUse,175.5,367.25,,,
J_SNT1_910_CNT9,Junction,367.3,20,DailyUse,97.5,367.25,,,
J_SNT1_910_966,Junction,-422.5,20,DailyUse,175.5,422.5,,,
J_SNT1_966_CNT10,Junction,-422.5,20,DailyUse,234.39,422.5,,,
J_SNT1_966_986,Junction,-464.5,20,DailyUse,175.5,464.75,,,
J_SNT1_986_CNT11,Junction,-464.5,20,DailyUse,97.5,464.75,,,
J_SNT1_986_1042,Junction,-471.3,20,DailyUse,175.5,471.25,,,
J_SNT1_1042_CNT12,Junction,-471.3,20,DailyUse,234.39,471.25,,,
J_SNT1_1042_1062,Junction,-479.7,20,DailyUse,175.5,479.7,,,
J_SNT1_1062_CNT13,Junction,-479.7,20,DailyUse,97.5,479.7,,,
J_SNT1_1062_1118,Junction,-497.3,20,DailyUse,175.5,497.25,,,
J_SNT1_1118_CNT14,Junction,-497.3,20,DailyUse,234.39,497.25,,,
J_SNT1_1118_1174,Junction,-520,20,DailyUse,175.5,520,,,
J_SNT1_1174_CNT15,Junction,-520,20,DailyUse,97.5,520,,,
J_SNT1_1174_1194,Junction,576.9,20,DailyUse,175.5,576.88,,,
J_SNT1_1194_CNT16,Junction,-576.9,20,DailyUse,234.39,576.88,,,
J_SNT1_1194_1250,Junction,-585,20,DailyUse,175.5,585,,,
J_SNT1_1250_CNT17,Junction,-585,20,DailyUse,97.5,585,,,
J_SNT1_1250_1265,Junction,-617.5,20,DailyUse,175.5,617.5,,,
J_SNT1_1265_CNT18,Junction,-617.5,20,DailyUse,234.39,617.5,,,
J_SNT1_1265_1280,Junction,-625.6,20,DailyUse,175.5,599.63,,,
J_SNT1_1280_CNT19,Junction,-625.6,20,DailyUse,97.5,599.63,,,
J_SNT1_1280_1295,Junction,-670.5,20,DailyUse,175.5,670.48,,,
J_SNT1_1295_CNT20,Junction,-670.5,20,DailyUse,97.5,670.48,,,
J_SNT1_1295_1310,Junction,-743,20,DailyUse,175.5,742.95,,,
J_SNT1_1310_CNT21,Junction,-743,20,DailyUse,255.78,742.95,,,
J_SNT1_1310_1325,Junction,-800.5,20,DailyUse,175.5,800.48,,,
J_SNT1_1325_CNT22,Junction,-800.5,20,DailyUse,255.78,800.48,,,
J_SNT1_1325_1420,Junction,-804.4,20,DailyUse,175.5,804.38,,,
J_SNT1_1420_CNT23,Junction,-804.4,20,DailyUse,97.5,804.38,,,
J_SNT1_1420_1435,Junction,-833,20,DailyUse,175.5,832.98,,,
J_SNT1_1435_CNT24,Junction,-833,20,DailyUse,255.78,832.98,,,
J_SNT1_1435_1450,Junction,-841.8,20,DailyUse,175.5,841.75,,,
J_SNT1_1450_CNT25,Junction,-841.8,20,DailyUse,97.5,841.75,,,
J_SNT1_1450_1530,Junction,-858,20,DailyUse,175.5,858,,,
J_SNT1_1530_CNT26,Junction,-858,20,DailyUse,255.78,858,,,
J_SNT1_1530_1545,Junction,-879.1,20,DailyUse,175.5,879.13,,,
J_SNT1_1545_CNT27,Junction,-879.1,20,DailyUse,97.5,879.13,,,
J_SNT1_1545_1640,Junction,-914.2,20,DailyUse,175.5,914.23,,,
J_SNT1_1640_CNT28,Junction,-914.2,20,DailyUse,255.78,914.23,,,
J_SNT1_1640_1670,Junction,-920.6,20,DailyUse,175.5,920.56,,,
J_SNT1_1655_CNT29,Junction,-920.6,20,DailyUse,97.5,920.56,,,
J_SNT1_1655_1750,Junction,-973.5,20,DailyUse,175.5,973.54,,,
J_SNT1_1750_CNT30,Junction,-973.5,20,DailyUse,255.78,973.54,,,
J_SNT1_1750_1765,Junction,-983.8,20,DailyUse,175.5,983.78,,,
J_SNT1_1780_CNT31,Junction,-983.8,20,DailyUse,97.5,983.78,,,
J_SNT1_1765_1975,Junction,-1032.5,20,DailyUse,175.5,1032.53,,,
J_SNT1_1860_CNT32,Junction,-1032.5,20,DailyUse,255.78,1032.53,,,
J_SNT1_1860_1875,Junction,-1083.9,20,DailyUse,175.5,1079.98,,,
J_SNT1_1875_CNT33,Junction,-1083.9,20,DailyUse,97.5,1079.98,,,
J_SNT1_1875_2025,Junction,-1160.7,20,DailyUse,175.5,1160.74,,,
J_SNT1_2025_CNT34,Junction,-1160.7,20,DailyUse,97.5,1160.74,,,
J_SNT1_2025_2040,Junction,-1170,20,DailyUse,175.5,1170,,,
J_SNT1_2040_CNT35,Junction,-1170,20,DailyUse,175.5,1170,,,
J_SNT1_2040_2135,Junction,-1170,0,DailyUse,175.5,1170,,,
J_SNT1_2135_CNT36,Junction,-69.2,20,DailyUse,540.48,69.23,,,
J_SNT1_2135_2215,Junction,-178.8,20,DailyUse,548.28,178.75,,,
J_SNT1_2215_V4_IN_2215_Stub,Junction,-178.8,0,DailyUse,548.28,178.75,,,
V4,Junction,-199.2,0,DailyUse,452.89,199.23,,,
J_M1_SNT2_Stub_55,Junction,-199.2,20,DailyUse,556.73,199.23,,,
J_SNT2_Stub_55,Junction,-231.7,20,DailyUse,556.73,231.73,,,
V5,Junction,-231.7,0,DailyUse,556.73,231.73,,,
J_SNT2_V5_OUT_55_CNT37,Junction,-231.7,0,DailyUse,450.78,231.73,,,
J_SNT2_55_80,Junction,-243.8,20,DailyUse,556.73,243.75,,,
J_SNT2_80_CNT38,Junction,-243.8,20,DailyUse,556.73,243.75,,,
J_SNT2_80_105,Junction,-243.8,20,DailyUse,450.78,243.75,,,
J_SNT2_105_Stub,Junction,-355.4,20,DailyUse,556.73,355.39,,,
V6,Junction,-355.4,20,DailyUse,556.73,355.39,,,
J_SNT2_V6_OUT_105_185,Junction,-355.4,20,DailyUse,556.73,355.39,,,
J_SNT2_185_Stub,Junction,-355.4,20,DailyUse,450.78,355.39,,,
V7,Junction,-367.7,20,DailyUse,556.73,367.74,,,
J_SNT2_V7_OUT_185_210,Junction,-367.7,20,DailyUse,625.63,367.74,,,
J_SNT2_210_300,Junction,-422.5,20,DailyUse,832.98,422.5,,,
J_SNT2_300_V8_IN_300,Junction,-422.5,20,DailyUse,832.98,422.5,,,
V8,Junction,-422.5,20,DailyUse,832.98,422.5,,,
J_SNT2_V8_OUT_300_CNT39,Junction,-420.4,20,DailyUse,556.73,420.39,,,
J_SNT2_V8_OUT_300_325,Junction,-420.4,20,DailyUse,450.78,420.39,,,
J_SNT2_325_CNT40,Junction,-422.5,20,DailyUse,556.73,422.5,,,
J_CNT40_100,Junction,-422.5,20,DailyUse,625.63,422.5,,,
V9,Junction,-438.8,0,DailyUse,556.73,438.75,,,
J_CNT40_100_V9_OUT,Junction,-438.8,20,DailyUse,625.63,438.75,,,
J_SNT2_325_350,Junction,-489.6,20,DailyUse,556.73,489.61,,,
J_SNT2_350_CNT42,Junction,-489.6,20,DailyUse,450.78,489.61,,,
J_SNT2_350_365,Junction,-536.3,20,DailyUse,556.73,536.25,,,
J_SNT2_365_CNT43,Junction,-536.3,20,DailyUse,625.63,536.25,,,
J_SNT2_365_415,Junction,-552.5,20,DailyUse,556.73,552.5,,,
J_SNT2_415_CNT44,Junction,-552.5,20,DailyUse,450.78,552.5,,,
J_SNT2_415_430,Junction,-593.1,20,DailyUse,556.73,593.13,,,
J_SNT2_430_CNT45,Junction,-593.1,20,DailyUse,625.63,593.13,,,
J_SNT2_430_480,Junction,-633.8,20,DailyUse,556.73,633.75,,,
J_SNT2_480_CNT46,Junction,-633.8,20,DailyUse,450.78,633.75,,,
J_SNT2_480_495,Junction,-650,20,DailyUse,556.73,650,,,
J_SNT2_490_CNT47,Junction,-650,20,DailyUse,625.63,650,,,
J_SNT2_495_545,Junction,-682.5,20,DailyUse,556.73,682.5,,,
J_SNT2_545_CNT48,Junction,-682.5,20,DailyUse,450.78,682.5,,,
J_SNT2_545_565,Junction,-703,20,DailyUse,556.73,702.98,,,
J_SNT2_565_CNT49,Junction,-703,20,DailyUse,625.63,702.98,,,
J_SNT2_565_600,Junction,-747.5,20,DailyUse,556.73,747.5,,,
J_SNT2_600_CNT50,Junction,-747.5,20,DailyUse,450.78,747.5,,,
J_SNT2_600_635,Junction,-861.3,20,DailyUse,556.73,861.25,,,
J_SNT2_635_CNT51,Junction,-861.3,20,DailyUse,556.73,861.25,,,
J_SNT2_635_670,Junction,-861.3,20,DailyUse,556.73,861.25,,,
J_SNT2_670_CNT52,Junction,-861.3,20,DailyUse,582.89,861.25,,,
J_SNT2_670_705,Junction,-861.3,20,DailyUse,556.73,861.25,,,
J_SNT2_705_CNT53,Junction,-942.8,20,DailyUse,495.63,942.83,,,
J_SNT2_705_840,Junction,-946.9,20,DailyUse,556.73,946.89,,,
J_SNT2_V10_IN_840,Junction,-946.9,20,DailyUse,556.73,946.89,,,
V10,Junction,-946.9,20,DailyUse,556.73,946.89,,,
J_SNT2_V10_OUT_840_CNT54,Junction,-946.9,20,DailyUse,568.75,946.89,,,
J_SNT2_V10_OUT_840_SNT3_75,Junction,-1017.3,20,DailyUse,410.48,1017.25,,,
J_SNT3_75_CNT55,Junction,-1017.3,20,DailyUse,499.36,1017.25,,,
J_SNT3_75_130,Junction,-1036.8,20,DailyUse,473.36,1036.75,,,
J_SNT3_130_CNT56,Junction,-1056,20,DailyUse,479.54,1056.01,,,
J_SNT3_130_185,Junction,-1063.7,20,DailyUse,459.23,1063.66,,,
J_SNT3_185_CNT57,Junction,-1070.2,20,DailyUse,461.84,1070.16,,,
J_SNT3_185_240,Junction,-1086.4,20,DailyUse,449.45,1086.41,,,
J_SNT3_240_CNT58,Junction,-1090.5,20,DailyUse,453.51,1090.51,,,
J_SNT3_240_295,Junction,-1102.9,20,DailyUse,441.32,1102.92,,,
J_SNT3_295_CNT59,Junction,-1099.3,20,DailyUse,449.45,1099.35,,,
J_SNT2_V10_OUT_840_890,Junction,-946.9,20,DailyUse,556.73,946.89,,,
J_SNT2_890_CNT60,Junction,-959.9,20,DailyUse,556.73,959.89,,,
J_SNT2_890_1050,Junction,-1078.1,20,DailyUse,587.11,1078.12,,,
J_SNT2_V11_IN_1050_Stub,Junction,-1078.1,20,DailyUse,587.11,1078.12,,,
V11,Junction,-1078.1,20,DailyUse,587.11,1078.12,,,
J_SNT2_V11_OUT_1050_SNT4_20,Junction,-1047,20,DailyUse,603.36,1047.05,,,
J_SNT4_20_CNT61,Junction,-1059.9,20,DailyUse,614.25,1059.89,,,
J_SNT4_20_70,Junction,-970.8,20,DailyUse,641.55,970.78,,,
